r,M,L,T,p,log P
0.007,0.00003,0.0002,15.7,150,17.369
0.02,0.001,0.01,15.6,146,17.355
0.09,0.057,0.361,13.6,95.73,17.177
0.22,0.399,0.966,8.77,28.72,16.525
0.32,0.656,1,6.42,9.77,15.724
0.42,0.817,1,4.89,3.22,15.324
0.52,0.908,1,3.77,1.05,14.722
0.6,0.945,1,3.15,0.5,14.322
0.71,0.977,1,2.23,0.177,13.721
0.81,0.992,1,1.29,0.0766,13.119
0.91,0.999,1,0.514,0.0194,12.119
0.96,0.9999,1,0.208,4.85E-03,11.118
0.99,1,1,0.00441,2.56E-04,9.118
0.995,1,1,0.00266,4.83E-05,8.118
0.999,1,1,0.00135,1.29E-06,6.118
1,1,1,0.0006,2.18E-07,4.918
